never talk to me again,10
I am proud of your achievements,11
It is the worst day in my life,3
Miss you so much,0
food is life,4
I love you mum,0
Stop saying bullshit,7
congratulations on your acceptance,11
The assignment is too long ,8
I want to go play,19
she did not answer my text ,10
Your stupidity has no limit,9
how many points did he score,1
my algorithm performs poorly,3
I got approved,2
Stop shouting at me,7
Sounds like a fun plan ha ha,9
no one likes him,8
the game just finished,19
I will celebrate soon,4
So sad you are not coming,3
She is my dearest love,0
Good job,25
It was funny lol,9
candy is life ,21
The chicago cubs won again,11
I am hungry,4
I am so excited to see you after so long,2
you did well on you exam,23
lets brunch some day,4
he is so cute,5
How dare you ask that,7
do you want to join me for dinner ,4
I said yes,2
she is attractive,5
you suck,7
she smiles a lot,2
he is laughing,9
she takes forever to get ready ,3
French macaroon is so tasty,21
we made it,2
I am excited,2
I adore my dogs,0
Congratulations,11
this girl was mean,10
you two are cute,5
my code is working but the grader gave me zero,9
this joke is killing me haha,9
do you like pizza ,21
you got a down grade,3
I missed you,0
I think I will end up alone,8
I got humiliated by my sister,3
you are awful,3
I cooked meat,4
This is so funny,9
lets exercise,27
he is the best player,24
I am going to the stadium,1
You are incredibly intelligent and talented,2
Stop shouting at me,7
Who is your favorite player,1
I like you a lot,0
i miss him,0
my dog just had a few puppies,0
I hate him,3
I want chinese food,4
cookies are good,21
her smile is so charming,5
Bravo for the announcement it got a lot of traction,25
she plays baseball,1
he did an amazing job,25
The baby is adorable,0
I was waiting for her for two hours ,3
funny,9
I like it when people smile,2
I love dogs,0
they are so kind and friendly,0
So bad that you cannot come with us,3
he likes baseball,1
I am so impressed by your dedication to this project,23
I am at the baseball game,1
Bravo,25
What a fun moment,9
I want to have sushi for dinner,4
I am very disappointed,3
he can not do anything,7
lol,9
Lets have food together,4
she is so cute,5
miss you my dear,0
I am looking for a date,0
I am frustrated,3
I lost my wallet,8
you failed the midterm,3
ha ha ha it was so funny,9
Do you want to give me a hug,0
who is playing in the final,19
she is happy,2
You are not qualified for this position,3
I love my dad,0
this guy was such a joke,9
Good joke,9
This specialization is great,2
you could not solve it,3
I am so happy for you,2
Congrats on the new job,2
I am proud of you forever,2
I want to eat,4
That catcher sucks ,7
The first base man got the ball,1
this is bad,3
I called you,26
I will have a cheese cake,21
do you have a ball,19
the lectures are great though ,8
Are you down for baseball this afternoon,1
what are the rules of the game,1
I am always working,24
where is the stadium,19
She is the cutest person I have ever seen,5
vegetables are healthy,4
he is handsome,5
too bad that you were not here,3
you are a loser,3
I love indian food,21
Who is down for a restaurant,4
he had to make a home run,1
I am ordering food,4
What is wrong with you,8
I love you,0
great job,25
okk,23
running late,24
good luck for your marriage,6
be quiet,7
you go girl,25
see you soon,0
party time,4
call me,26
not my cup of tea,13
mesmerizing,5
screw you,3
monkey business,10
smoking hot,5
bomb shell,5
rock star from childhood,23
perfect drama queen,13
I am disappointed,3
not the brightest bulb,8
go to hell,7
between a rock and a hard place,8
I have to call ,26
did you say something,12
your head is in the cloud,6
you are in the dog house,3
that was cold,22
you are in deep trouble,6
no time for your bullshit,7
that is like my ass,2
kiss my ass,2
do not bite the hand that feeds you,8
your mom is nice,0
get the fuck out of here,7
talk to the hand,12
dumb as a door knob,13
read it and weep,10
when pigs fly,9
cry me a river,3
do not cry over spilled milk,25
I cant cry now,10
thanks for awesome conversation,0
much better ,11
good try,25
cool down,2
bravo,11
top notch,25
think positively,2
exercise daily,24
eat healthy,4
work hard,27
stay strong,27
worry less,8
I like your dance,25
love often,0
be happy,2
yes good idea,25
exactly,5
it hurts me,10
dressed well,23
watch movie,28
go for a drink,4
jingle bell rock,0
silent night ,0
joy to the world,5
my turn,12
revenge,7
can u teach me,6
sure,23
you are so cute babe,5
are you single,5
crushing on someone,0
favorite person,24
hometown,0
jealous of,8
person who gives you advice,2
hot bath,2
you are a laughing stock,9
james bond,0
paper boy,24
rejected,10
cookies and milk,4
break the ice,27
food was good,21
oscar,28
shower head,15
death star,6
give me a present,16
titanic,0
struck by love,5
square meal,4
angel on earth,0
sweet heart,0
baby boy,2
partner in crime,9
moon,29
my secret,23
my heart,0
the cat in the hat,9
goodnight,25
hungry caterpillar,4
owl moon,29
black beauty,5
lord of the rings,0
knocked up,27
home alone,3
kung fu panda,5
homeless,10
valentines day,0
sunburn,14
hang over,13
I love money,30
big fish in a small pond,9
proposal,0
chill pill,23
I appreciate your work,11
the big apple,4
pin up,24
happy hour,21
popcorn,21
smoke alarm,8
oh my god,6
love the way you speak,11
please response,26
how are you,25
please help,6
great,25
are you kidding me,7
have you lost it,7
good morning,14
good bye,10
are you playing ball,1
yo baby,5
party time,4
won the game,11
lost my keys,8
go to  school,20
holy crap,3
you broke my heart,10
you cheated me,10
you dumped me,10
excuse me,25
congratulations,11
the cake you made was terrible,13
weather is awesome,0
raining since morning,15
its started to drizzle,15
that is funny,9
i gave you a present,16
what do you want on your birthday,16
what do you want on valentine,16
battery is low,17
full charged,17
battery about to die,17
just kidding,9
send me the mail,18
check your mail,18
post the mail,18
do you play football,19
let us play football,19
I bought a car,20
let us go for a long drive,20
I want to buy a car,20
want to take cab ,20
I am foodie,4
I am hungry,4
I am ill,22
I do not feel well,22
I am sick,22
I am felling unwell,22
